REF_AREA,TIME_PERIOD,OBS_VALUE,DATABASE_ID,TIME_FORMAT,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL
CSS,2002,3.985048145,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2002,3.542439969,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2002,1.734604558,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2002,4.445526755,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
PSE,2020,-11.31846611,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
ZMB,2020,-2.785055065,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2020,-7.816950602,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2021,4.578772069,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2021,2.549690832,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2021,4.431608835,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2021,6.531812483,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2021,6.57225386,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2021,7.509998573,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2021,6.344826114,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2021,7.719796469,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2021,7.719487994,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2021,6.437137555,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
UZB,2003,4.232627382,WB_WDI,P1Y,PU,Annual,Uzbekistan,GDP growth (annual %)
VUT,2003,4.288335117,WB_WDI,P1Y,PU,Annual,Vanuatu,GDP growth (annual %)
VEN,2003,-7.75530005,WB_WDI,P1Y,PU,Annual,"Venezuela, RB",GDP growth (annual %)
VNM,2003,6.899063491,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
VIR,2003,-0.396080884,WB_WDI,P1Y,PU,Annual,Virgin Islands (U.S.),GDP growth (annual %)
PSE,2003,14.01564768,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2003,3.747398185,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2003,6.944973982,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2003,-16.99507334,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2004,5.634698009,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2004,8.071473451,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2004,9.074591887,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2004,4.660685836,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2004,5.87404889,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
VNM,2008,5.661771209,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
